"rank","priority","score","agent","segment","ecosystem","physical_assumption","problem","payment_evidence","buyer_authority","protocol_fit","plausible_error_cost","break_even_at_2_usd","contact_path","previous_outreach","next_action","source","verified_on"
"50","C","42","The Graph","research/intelligence","Agentic Market / x402","A consequential digital claim about a place, product, or event still matches present physical reality","Add primary evidence when web/RAG sources are stale, correlated, or unable to observe the scene","Public x402 listing; Base-compatible=True; listed 30-day signal: 0 payer(s), 0 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$5+","<=40%","https://thegraph.com","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"51","C","42","Wolfram|Alpha","research/intelligence","Agentic Market / x402","A consequential digital claim about a place, product, or event still matches present physical reality","Add primary evidence when web/RAG sources are stale, correlated, or unable to observe the scene","Public x402 listing; Base-compatible=True; listed 30-day signal: 0 payer(s), 0 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$5+","<=40%","https://products.wolframalpha.com","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"52","C","42","Zapper","research/intelligence","Agentic Market / x402","A consequential digital claim about a place, product, or event still matches present physical reality","Add primary evidence when web/RAG sources are stale, correlated, or unable to observe the scene","Public x402 listing; Base-compatible=True; listed 30-day signal: 0 payer(s), 0 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$5+","<=40%","https://public.zapper.xyz","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"53","C","41","laso.finance","commerce/logistics","Agentic Market / x402","The item, shelf price, stock, package, display, or delivery state exists as represented right now","Verify stock, price, condition, merchandising, pickup, or delivery before money or state changes","Public x402 listing; Base-compatible=True; listed 30-day signal: 88 payer(s), 137 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$10+","<=20%","https://laso.finance","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"54","C","40","Building Manager Agent","property/facilities","Masumi","The premises, equipment, damage, access, or occupancy matches the digital record right now","Prevent a remote decision from relying on stale listing, sensor, or maintenance data","Online Masumi Web3-priced agent listing","Unverified: listing proves an economic agent/operator, not delegated outbound spend","Adapter required: Masumi/Cardano listing; GroundTruth currently accepts Base USDC and X Layer USDT0","$100+","<=2%","https://buildingagentsuite-production.up.railway.app","None recorded","Operator discovery first; offer a scoped technical review before proposing a paid cross-rail test","https://registry.masumi.network","2026-09-27"
"55","C","40","HVAC Diagnostic Agent","property/facilities","Masumi","The premises, equipment, damage, access, or occupancy matches the digital record right now","Prevent a remote decision from relying on stale listing, sensor, or maintenance data","Online Masumi Web3-priced agent listing","Unverified: listing proves an economic agent/operator, not delegated outbound spend","Adapter required: Masumi/Cardano listing; GroundTruth currently accepts Base USDC and X Layer USDT0","$100+","<=2%","https://hvacdiagnosticagent-production.up.railway.app","None recorded","Operator discovery first; offer a scoped technical review before proposing a paid cross-rail test","https://registry.masumi.network","2026-09-27"
"56","C","40","rubric-protocol.com","risk/RWA","Agentic Market / x402","A claimed real-world asset, event, condition, or compliance fact is physically true and current","Attach fresh independent evidence to a claim before settlement, underwriting, or escalation","Public x402 listing; Base-compatible=True; listed 30-day signal: 166 payer(s), 462 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$100+","<=2%","https://rubric-protocol.com","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"57","C","39","api.bitrefill.com","travel/location","Agentic Market / x402","The venue, route, queue, signage, accessibility, or local availability matches published data right now","Prevent failed trips, bookings, or recommendations caused by stale local information","Public x402 listing; Base-compatible=True; listed 30-day signal: 79 payer(s), 300 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$20+","<=10%","https://api.bitrefill.com","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"58","C","39","rpc.nodeflare.app","travel/location","Agentic Market / x402","The venue, route, queue, signage, accessibility, or local availability matches published data right now","Prevent failed trips, bookings, or recommendations caused by stale local information","Public x402 listing; Base-compatible=True; listed 30-day signal: 29 payer(s), 399 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$20+","<=10%","https://rpc.nodeflare.app","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"59","C","39","Tavily","research/intelligence","Agentic Market / x402","A consequential digital claim about a place, product, or event still matches present physical reality","Add primary evidence when web/RAG sources are stale, correlated, or unable to observe the scene","Public x402 listing; Base-compatible=True; listed 30-day signal: 32 payer(s), 658 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$5+","<=40%","https://x402.tavily.com","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"60","C","38","AgentMail","agent infrastructure","Agentic Market / x402","A downstream agent can safely act on a present physical fact that its APIs cannot directly observe","Offer a paid physical-world verification primitive to agents already buying digital tools","Public x402 listing; Base-compatible=True; listed 30-day signal: 0 payer(s), 0 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","Requires discovery","Not yet calculable","https://www.agentmail.to/","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"61","C","38","api.kadec0.xyz","property/facilities","Agentic Market / x402","The premises, equipment, damage, access, or occupancy matches the digital record right now","Prevent a remote decision from relying on stale listing, sensor, or maintenance data","Public x402 listing; Base-compatible=True; listed 30-day signal: 120 payer(s), 4208 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$100+","<=2%","https://api.kadec0.xyz","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"62","C","38","ChatGPT","agent infrastructure","Agentic Market / x402","A downstream agent can safely act on a present physical fact that its APIs cannot directly observe","Offer a paid physical-world verification primitive to agents already buying digital tools","Public x402 listing; Base-compatible=True; listed 30-day signal: 0 payer(s), 0 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","Requires discovery","Not yet calculable","https://openai.com/","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"63","C","38","Claude","agent infrastructure","Agentic Market / x402","A downstream agent can safely act on a present physical fact that its APIs cannot directly observe","Offer a paid physical-world verification primitive to agents already buying digital tools","Public x402 listing; Base-compatible=True; listed 30-day signal: 0 payer(s), 0 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","Requires discovery","Not yet calculable","https://docs.anthropic.com","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"64","C","38","E2B","agent infrastructure","Agentic Market / x402","A downstream agent can safely act on a present physical fact that its APIs cannot directly observe","Offer a paid physical-world verification primitive to agents already buying digital tools","Public x402 listing; Base-compatible=True; listed 30-day signal: 0 payer(s), 0 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","Requires discovery","Not yet calculable","https://e2b.dev","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"65","C","38","Google Gemini","agent infrastructure","Agentic Market / x402","A downstream agent can safely act on a present physical fact that its APIs cannot directly observe","Offer a paid physical-world verification primitive to agents already buying digital tools","Public x402 listing; Base-compatible=True; listed 30-day signal: 0 payer(s), 0 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","Requires discovery","Not yet calculable","https://ai.google.dev","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"66","C","38","Questflow","agent infrastructure","Agentic Market / x402","A downstream agent can safely act on a present physical fact that its APIs cannot directly observe","Offer a paid physical-world verification primitive to agents already buying digital tools","Public x402 listing; Base-compatible=True; listed 30-day signal: 0 payer(s), 0 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","Requires discovery","Not yet calculable","https://api.questflow.ai","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"67","C","37","lionx402.com","risk/RWA","Agentic Market / x402","A claimed real-world asset, event, condition, or compliance fact is physically true and current","Attach fresh independent evidence to a claim before settlement, underwriting, or escalation","Public x402 listing; Base-compatible=True; listed 30-day signal: 78 payer(s), 129 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$100+","<=2%","https://lionx402.com","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"68","C","36","Attention Insight","travel/location","Masumi","The venue, route, queue, signage, accessibility, or local availability matches published data right now","Prevent failed trips, bookings, or recommendations caused by stale local information","Online Masumi Web3-priced agent listing","Unverified: listing proves an economic agent/operator, not delegated outbound spend","Adapter required: Masumi/Cardano listing; GroundTruth currently accepts Base USDC and X Layer USDT0","$20+","<=10%","http://46.101.250.39/sumi/attention-insight/","None recorded","Operator discovery first; offer a scoped technical review before proposing a paid cross-rail test","https://registry.masumi.network","2026-09-27"
"69","C","36","Expose: Google Maps Intelligence with HITL (Bansumi)","travel/location","Masumi","The venue, route, queue, signage, accessibility, or local availability matches published data right now","Prevent failed trips, bookings, or recommendations caused by stale local information","Online Masumi Web3-priced agent listing","Unverified: listing proves an economic agent/operator, not delegated outbound spend","Adapter required: Masumi/Cardano listing; GroundTruth currently accepts Base USDC and X Layer USDT0","$20+","<=10%","https://panel-odin.kodosumi.io/sumi/googlemapsintel_cc/analyze","None recorded","Operator discovery first; offer a scoped technical review before proposing a paid cross-rail test","https://registry.masumi.network","2026-09-27"
"70","C","36","GEO Sniffer","travel/location","Masumi","The venue, route, queue, signage, accessibility, or local availability matches published data right now","Prevent failed trips, bookings, or recommendations caused by stale local information","Online Masumi Web3-priced agent listing","Unverified: listing proves an economic agent/operator, not delegated outbound spend","Adapter required: Masumi/Cardano listing; GroundTruth currently accepts Base USDC and X Layer USDT0","$20+","<=10%","https://staging.kodosumi.io/sumi/geosniffer_cc/","None recorded","Operator discovery first; offer a scoped technical review before proposing a paid cross-rail test","https://registry.masumi.network","2026-09-27"
"71","C","36","Google Maps Intelligence (Bansumi)","travel/location","Masumi","The venue, route, queue, signage, accessibility, or local availability matches published data right now","Prevent failed trips, bookings, or recommendations caused by stale local information","Online Masumi Web3-priced agent listing","Unverified: listing proves an economic agent/operator, not delegated outbound spend","Adapter required: Masumi/Cardano listing; GroundTruth currently accepts Base USDC and X Layer USDT0","$20+","<=10%","https://staging.kodosumi.io/sumi/googlemapsintel_cc/analyze","None recorded","Operator discovery first; offer a scoped technical review before proposing a paid cross-rail test","https://registry.masumi.network","2026-09-27"
"72","C","36","Organization Analysis","travel/location","Masumi","The venue, route, queue, signage, accessibility, or local availability matches published data right now","Prevent failed trips, bookings, or recommendations caused by stale local information","Online Masumi Web3-priced agent listing","Unverified: listing proves an economic agent/operator, not delegated outbound spend","Adapter required: Masumi/Cardano listing; GroundTruth currently accepts Base USDC and X Layer USDT0","$20+","<=10%","mailto:filip@resomnium.com","None recorded","Operator discovery first; offer a scoped technical review before proposing a paid cross-rail test","https://registry.masumi.network","2026-09-27"
"73","C","36","Sascha Deforth","travel/location","Masumi","The venue, route, queue, signage, accessibility, or local availability matches published data right now","Prevent failed trips, bookings, or recommendations caused by stale local information","Online Masumi Web3-priced agent listing","Unverified: listing proves an economic agent/operator, not delegated outbound spend","Adapter required: Masumi/Cardano listing; GroundTruth currently accepts Base USDC and X Layer USDT0","$20+","<=10%","mailto:hello@truesource.studio","None recorded","Operator discovery first; offer a scoped technical review before proposing a paid cross-rail test","https://registry.masumi.network","2026-09-27"
"74","C","36","SEO & GEO Researcher","travel/location","Masumi","The venue, route, queue, signage, accessibility, or local availability matches published data right now","Prevent failed trips, bookings, or recommendations caused by stale local information","Online Masumi Web3-priced agent listing","Unverified: listing proves an economic agent/operator, not delegated outbound spend","Adapter required: Masumi/Cardano listing; GroundTruth currently accepts Base USDC and X Layer USDT0","$20+","<=10%","https://staging.kodosumi.io/sumi/seo_geo_researcher_cc/","None recorded","Operator discovery first; offer a scoped technical review before proposing a paid cross-rail test","https://registry.masumi.network","2026-09-27"
"75","C","36","SEO & GEO Researcher (Vibe eval)","travel/location","Masumi","The venue, route, queue, signage, accessibility, or local availability matches published data right now","Prevent failed trips, bookings, or recommendations caused by stale local information","Online Masumi Web3-priced agent listing","Unverified: listing proves an economic agent/operator, not delegated outbound spend","Adapter required: Masumi/Cardano listing; GroundTruth currently accepts Base USDC and X Layer USDT0","$20+","<=10%","https://staging.kodosumi.io/sumi/seo_geo_researcher_vibe/","None recorded","Operator discovery first; offer a scoped technical review before proposing a paid cross-rail test","https://registry.masumi.network","2026-09-27"
"76","C","36","Weather Agent","travel/location","Masumi","The venue, route, queue, signage, accessibility, or local availability matches published data right now","Prevent failed trips, bookings, or recommendations caused by stale local information","Online Masumi Web3-priced agent listing","Unverified: listing proves an economic agent/operator, not delegated outbound spend","Adapter required: Masumi/Cardano listing; GroundTruth currently accepts Base USDC and X Layer USDT0","$20+","<=10%","https://demo-for-masumi-5.onrender.com/","None recorded","Operator discovery first; offer a scoped technical review before proposing a paid cross-rail test","https://registry.masumi.network","2026-09-27"
"77","C","35","api.aidress.ai","travel/location","Agentic Market / x402","The venue, route, queue, signage, accessibility, or local availability matches published data right now","Prevent failed trips, bookings, or recommendations caused by stale local information","Public x402 listing; Base-compatible=True; listed 30-day signal: 50 payer(s), 70 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$20+","<=10%","https://api.aidress.ai","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"78","C","35","keyronne.com","travel/location","Agentic Market / x402","The venue, route, queue, signage, accessibility, or local availability matches published data right now","Prevent failed trips, bookings, or recommendations caused by stale local information","Public x402 listing; Base-compatible=True; listed 30-day signal: 37 payer(s), 45 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$20+","<=10%","https://keyronne.com","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"79","C","35","quartermaster.surewhynot.app","travel/location","Agentic Market / x402","The venue, route, queue, signage, accessibility, or local availability matches published data right now","Prevent failed trips, bookings, or recommendations caused by stale local information","Public x402 listing; Base-compatible=True; listed 30-day signal: 82 payer(s), 89 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$20+","<=10%","https://quartermaster.surewhynot.app","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"80","C","34","kronossignals.com","travel/location","Agentic Market / x402","The venue, route, queue, signage, accessibility, or local availability matches published data right now","Prevent failed trips, bookings, or recommendations caused by stale local information","Public x402 listing; Base-compatible=True; listed 30-day signal: 211 payer(s), 875 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$20+","<=10%","https://kronossignals.com","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"81","C","34","Product Reality Check (Bansumi)","risk/RWA","Masumi","A claimed real-world asset, event, condition, or compliance fact is physically true and current","Attach fresh independent evidence to a claim before settlement, underwriting, or escalation","Online Masumi Web3-priced agent listing","Unverified: listing proves an economic agent/operator, not delegated outbound spend","Adapter required: Masumi/Cardano listing; GroundTruth currently accepts Base USDC and X Layer USDT0","$100+","<=2%","https://staging.kodosumi.io/sumi/product_reality_check_vibe/","None recorded","Operator discovery first; offer a scoped technical review before proposing a paid cross-rail test","https://registry.masumi.network","2026-09-27"
"82","C","34","stableenrich.dev","travel/location","Agentic Market / x402","The venue, route, queue, signage, accessibility, or local availability matches published data right now","Prevent failed trips, bookings, or recommendations caused by stale local information","Public x402 listing; Base-compatible=True; listed 30-day signal: 552 payer(s), 61784 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$20+","<=10%","https://stableenrich.dev","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"83","C","34","vaaya.ai","travel/location","Agentic Market / x402","The venue, route, queue, signage, accessibility, or local availability matches published data right now","Prevent failed trips, bookings, or recommendations caused by stale local information","Public x402 listing; Base-compatible=True; listed 30-day signal: 175 payer(s), 907 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$20+","<=10%","https://vaaya.ai","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"84","C","33","mcp.yield.xyz","risk/RWA","Agentic Market / x402","A claimed real-world asset, event, condition, or compliance fact is physically true and current","Attach fresh independent evidence to a claim before settlement, underwriting, or escalation","Public x402 listing; Base-compatible=True; listed 30-day signal: 29 payer(s), 34 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$100+","<=2%","https://mcp.yield.xyz","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"85","C","33","www.mahastrategies.com","risk/RWA","Agentic Market / x402","A claimed real-world asset, event, condition, or compliance fact is physically true and current","Attach fresh independent evidence to a claim before settlement, underwriting, or escalation","Public x402 listing; Base-compatible=True; listed 30-day signal: 35 payer(s), 47 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$100+","<=2%","https://www.mahastrategies.com","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"86","C","32","Luo Data & Creative Agent","research/intelligence","Masumi","A consequential digital claim about a place, product, or event still matches present physical reality","Add primary evidence when web/RAG sources are stale, correlated, or unable to observe the scene","Online Masumi Web3-priced agent listing","Unverified: listing proves an economic agent/operator, not delegated outbound spend","Adapter required: Masumi/Cardano listing; GroundTruth currently accepts Base USDC and X Layer USDT0","$5+","<=40%","mailto:luo@johansparrbooks.com","None recorded","Operator discovery first; offer a scoped technical review before proposing a paid cross-rail test","https://registry.masumi.network","2026-09-27"
"87","C","31","crypto.apitoll.cloud","travel/location","Agentic Market / x402","The venue, route, queue, signage, accessibility, or local availability matches published data right now","Prevent failed trips, bookings, or recommendations caused by stale local information","Public x402 listing; Base-compatible=True; listed 30-day signal: 92 payer(s), 333 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$20+","<=10%","https://crypto.apitoll.cloud","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"88","C","31","google-trends.use.x402atlas.com","travel/location","Agentic Market / x402","The venue, route, queue, signage, accessibility, or local availability matches published data right now","Prevent failed trips, bookings, or recommendations caused by stale local information","Public x402 listing; Base-compatible=True; listed 30-day signal: 25 payer(s), 1466 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$20+","<=10%","https://google-trends.use.x402atlas.com","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"89","C","31","sat.ipintel.ai","travel/location","Agentic Market / x402","The venue, route, queue, signage, accessibility, or local availability matches published data right now","Prevent failed trips, bookings, or recommendations caused by stale local information","Public x402 listing; Base-compatible=True; listed 30-day signal: 23 payer(s), 449 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$20+","<=10%","https://sat.ipintel.ai","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"90","C","31","stabletravel.dev","travel/location","Agentic Market / x402","The venue, route, queue, signage, accessibility, or local availability matches published data right now","Prevent failed trips, bookings, or recommendations caused by stale local information","Public x402 listing; Base-compatible=True; listed 30-day signal: 64 payer(s), 3379 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$20+","<=10%","https://stabletravel.dev","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"91","C","31","twitter.use.x402atlas.com","travel/location","Agentic Market / x402","The venue, route, queue, signage, accessibility, or local availability matches published data right now","Prevent failed trips, bookings, or recommendations caused by stale local information","Public x402 listing; Base-compatible=True; listed 30-day signal: 75 payer(s), 577 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$20+","<=10%","https://twitter.use.x402atlas.com","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"92","C","30","agents.samedaydesk.com","risk/RWA","Agentic Market / x402","A claimed real-world asset, event, condition, or compliance fact is physically true and current","Attach fresh independent evidence to a claim before settlement, underwriting, or escalation","Public x402 listing; Base-compatible=True; listed 30-day signal: 14 payer(s), 16 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$100+","<=2%","https://agents.samedaydesk.com","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"93","C","28","JeetScreener","research/intelligence","Agentic Market / x402","A consequential digital claim about a place, product, or event still matches present physical reality","Add primary evidence when web/RAG sources are stale, correlated, or unable to observe the scene","Public x402 listing; Base-compatible=True; listed 30-day signal: 0 payer(s), 0 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$5+","<=40%","https://jeetscreener.io","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"94","C","27","agentres.dev","travel/location","Agentic Market / x402","The venue, route, queue, signage, accessibility, or local availability matches published data right now","Prevent failed trips, bookings, or recommendations caused by stale local information","Public x402 listing; Base-compatible=True; listed 30-day signal: 21 payer(s), 27 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$20+","<=10%","https://agentres.dev","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"95","C","27","toolcall.click","travel/location","Agentic Market / x402","The venue, route, queue, signage, accessibility, or local availability matches published data right now","Prevent failed trips, bookings, or recommendations caused by stale local information","Public x402 listing; Base-compatible=True; listed 30-day signal: 33 payer(s), 56 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$20+","<=10%","https://toolcall.click","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"96","C","27","x402-seller.onrender.com","travel/location","Agentic Market / x402","The venue, route, queue, signage, accessibility, or local availability matches published data right now","Prevent failed trips, bookings, or recommendations caused by stale local information","Public x402 listing; Base-compatible=True; listed 30-day signal: 26 payer(s), 30 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$20+","<=10%","https://x402-seller.onrender.com","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"97","C","26","agentpay.tools","commerce/logistics","Agentic Market / x402","The item, shelf price, stock, package, display, or delivery state exists as represented right now","Verify stock, price, condition, merchandising, pickup, or delivery before money or state changes","Public x402 listing; Base-compatible=True; listed 30-day signal: 19 payer(s), 41 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$10+","<=20%","https://agentpay.tools","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"98","C","25","api.402rates.com","risk/RWA","Agentic Market / x402","A claimed real-world asset, event, condition, or compliance fact is physically true and current","Attach fresh independent evidence to a claim before settlement, underwriting, or escalation","Public x402 listing; Base-compatible=True; listed 30-day signal: 27 payer(s), 64 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$100+","<=2%","https://api.402rates.com","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
